,features,counts
308,1.0,1.6377995521024957
309,create,1.6377171759800868
310,sklearn.datasets,1.6296643987144346
311,gradient,1.6289808764441391
312,run,1.6289168979382924
313,iterations,1.6270585567262712
314,__init__,1.6229979907123897
315,classifiers,1.6185679409022955
316,fullname,1.6171538090404103
317,into,1.6157955754606266
318,does,1.6013919201811186
319,note,1.6007328072019964
320,left,1.5989928500316932
321,source,1.5894364769139249
322,prediction,1.5712850217352874
323,msg,1.5709450264520533
324,n_jobs,1.5705437410824445
325,while,1.5677809814537416
326,may,1.5667403584296336
327,find,1.5641191375184684
328,100,1.5630283217485343
329,6,1.5610205698583806
330,vectors,1.5459187236727874
331,other,1.5456192315518438
332,np.zeros,1.5444273745162589
333,m,1.5430240581779957
334,colors,1.5377805512801512
335,right,1.5342403050264477
336,typ,1.5333540991049182
337,assert_raises,1.5329570327365398
338,mean,1.5318734991307683
339,vector,1.52953931353236
340,step,1.5256069144715023
341,column,1.5236668177231174
342,variance,1.5172542571138223
343,**,1.5158160336094153
344,means,1.5095621358593196
345,density,1.5048419093258762
346,so,1.502390561387611
347,nearest,1.501830182023573
348,support,1.5010214409283418
349,variable,1.4941498267121662
350,original,1.4893987718618706
351,here,1.4828352090766712
352,author,1.4826454198731052
353,threshold,1.4778473888101338
354,mypy,1.4749565593760103
355,items,1.4724033590320056
356,.fit,1.4708952105924034
357,embedding,1.4689341343772402
358,**kwargs,1.468032193207307
359,distribution,1.4645452741329723
360,generate,1.4544850232232953
361,user,1.4539199456197558
362,20,1.4525896387341417
363,predictions,1.4495015659707429
364,ensemble,1.449420752069596
365,axis=0,1.4492109992823636
366,forest,1.4483429876014209
367,noise,1.4470645720239645
368,zip,1.4467424313763082
369,func,1.4415696914228249
370,boolean,1.4368024808723239
371,attributes,1.430396937505735
372,how,1.4235060015598016
373,solver,1.422260178844943
374,case,1.4215212576042773
375,distances,1.4199363277587365
376,enumerate,1.406543773441361
377,search,1.4054080517563994
378,?,1.4053278281329973
379,same,1.4035645582699425
380,n_estimators,1.3997643716555106
381,gridsearchcv,1.3997239944582993
382,output,1.3994203909798386
383,its,1.3954799589774636
384,//,1.3944171528694869
385,point,1.39259246888905
386,variables,1.3835600661495442
387,typing,1.3827902988844816
388,l,1.3747614658939504
389,cv,1.3729133712462016
390,distance,1.3721669955713836
391,predicted,1.3707951318025946
392,found,1.3696483767259662
393,width,1.3660140753083683
394,8,1.361924366060924
395,precision,1.3594528887376491
396,maximum,1.3590735459423406
397,hasattr,1.3580679134955875
398,0.5,1.3556409719269173
399,cross-validation,1.3535193215166794
400,columns,1.3484331818612674
401,argument,1.3479077218543114
402,order,1.3451149899736785
403,rate,1.3425492898248481
404,observations,1.3399216418159956
405,whether,1.3312112119804238
406,mask,1.325920727659785
407,you,1.3211808146449109
408,data_home,1.3201095751609346
409,code,1.3172327929541483
